Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"10u","C4","C0603","C19702"
"100n","C5","C0603","C14663"
"100n","C6","C0603","C14663"
"100n","C7","C0603","C14663"
"6.8n","C8","C0603","C1631"
"10u","C9","C0805","C15850"
"10n","C10","C0603","C57112"
"10u","C11","C0805","C15850"
"10u","C12","C0805","C15850"
"10u","C13","C0805","C15850"
"220n","C14","C0603","C21120"
"10u","C15","C0805","C15850"
"10u","C16","C0805","C15850"
"10u","C17","C0805","C15850"
"10u","C18","C0805","C15850"
"10u","C19","C0805","C15850"
"10u","C20","C0805","C15850"
"100n","C21","C0603","C14663"
"LED-GREEN-0805","D1","LED-0805","C2297"
"LED-GREEN-0805","D2","LED-0805","C2297"
"LED-BLUE-0603","D3","LED-0603","C72041"
"LED-BLUE-0603","D4","LED-0603","C72041"
"1N4148WS","D5","SOD-323","C2128"
"LED-RED-0603","D6","LED-0603","C2286"
"LED-RED-0603","D7","LED-0603","C2286"
"LED-RED-0603","D8","LED-0603","C2286"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-GREEN-0805","D10","LED-0805","C2297"
"LED-GREEN-0805","D11","LED-0805","C2297"
"1N4148WS","D12","SOD-323","C2128"
"1N4148WS","D13","SOD-323","C2128"
"1N4148WS","D14","SOD-323","C2128"
"1N4148WS","D15","SOD-323","C2128"
"LED-WHITE-0603","D16","LED-0603","C2290"
"LED-WHITE-0603","D17","LED-0603","C2290"
"LED-WHITE-0603","D18","LED-0603","C2290"
"LED-WHITE-0603","D19","LED-0603","C2290"
"1N4148WS","D20","SOD-323","C2128"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"1N4148WS","D23","SOD-323","C2128"
"1N4148WS","D24","SOD-323","C2128"
"B5819W","D25","SOD-123","C8598"
"LED-WHITE-0603","D26","LED-0603","C2290"
"LED-WHITE-0603","D27","LED-0603","C2290"
"B5819W","D28","SOD-123","C8598"
"1N4148WS","D29","SOD-323","C2128"
"1N4148WS","D30","SOD-323","C2128"
"B5819W","D31","SOD-123","C8598"
"B5819W","D32","SOD-123","C8598"
"1N4148WS","D33","SOD-323","C2128"
"1N4148WS","D34","SOD-323","C2128"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F3","PAD-1206-PAD","C182446"
"LOGO","G1","LOGO",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G9","PROTO_AREA",""
"PROTO_AREA","G11","PROTO_AREA",""
"PROTO_AREA","G12","PROTO_AREA",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x05_Male","J2","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"MiniFit","J3","Molex-39301020","C240832"
"Conn_02x12_Odd_Even","J4","PinHeader_2x12_P2.54mm_Vertical",""
"USB_B","J5","USB_B","C46392"
"ETB","J6","PinHeader_1x08_P2.54mm_Vertical","C343639"
"Conn_01x01","J11","MountingHole_4.5mm_Pad",""
"Conn_01x01","J13","MountingHole_4.5mm_Pad",""
"Conn_01x01","J14","MountingHole_4.5mm_Pad",""
"Conn_01x01","J15","MountingHole_4.5mm_Pad",""
"Conn_01x01","J16","MountingHole_4.5mm_Pad",""
"Conn_01x01","J17","MountingHole_4.5mm_Pad",""
"Conn_01x01","J19","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J21","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J24","TestPoint_Pad_D2.0mm",""
"AudioJack3_SwitchTR","J25","Jack_3.5mm_PJ-3250-5A","C165947"
"Conn_01x06","J27","PinHeader_1x06_P2.54mm_Vertical",""
"Module:input/0.1","M1","input",""
"Module:ign8/0.1","M2","ign8",""
"Module:mcu144/0.5","M3","mcu",""
"Module:sd/0.1","M4","sd",""
"Module:output/0.3","M5","output",""
"Module:dinput4/0.1","M6","dinput4",""
"Module:stlink/0.1","M7","stlink",""
"Module:can/0.1","M8","can",""
"Module:knock/0.1","M9","knock",""
"Module:power12/0.2","M10","power12",""
"Module:power5/0.2","M11","power5",""
"Module:wbo/0.3","M12","wbo",""
"Module:can/0.1","M13","can",""
"Pad","P1","PAD-TH",""
"178780-1","P2","178780-1",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P38","PAD-TH",""
