"Comment","Designator","Footprint","LCSC Part #"
"BATTERY_CR2032","BT1","Battery:BatteryHolder_Keystone_1060_1x2032","C70377"
"100n","C1","hellen-one-common:C0603","C14663"
"100n","C2","hellen-one-common:C0603","C14663"
"100n","C3","hellen-one-common:C0603","C14663"
"10u","C4","hellen-one-common:C0603","C19702"
"100n","C5","hellen-one-common:C0603","C14663"
"100n","C6","hellen-one-common:C0603","C14663"
"100n","C7","hellen-one-common:C0603","C14663"
"6.8n","C8","hellen-one-common:C0603","C1631"
"10u","C9","hellen-one-common:C0805","C15850"
"10n","C10","hellen-one-common:C0603","C57112"
"10u","C11","hellen-one-common:C0805","C15850"
"10u","C12","hellen-one-common:C0805","C15850"
"10u","C13","hellen-one-common:C0805","C15850"
"220n","C14","hellen-one-common:C0603","C21120"
"10u","C15","hellen-one-common:C0805","C15850"
"10u","C16","hellen-one-common:C0805","C15850"
"10u","C17","hellen-one-common:C0805","C15850"
"10u","C18","hellen-one-common:C0805","C15850"
"10u","C19","hellen-one-common:C0805","C15850"
"10u","C20","hellen-one-common:C0805","C15850"
"LED-GREEN-0805","D1","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D2","hellen-one-common:LED-0805","C2297"
"LED-BLUE-0603","D3","hellen-one-common:LED-0603","C72041"
"LED-BLUE-0603","D4","hellen-one-common:LED-0603","C72041"
"1N4148WS","D5","hellen-one-common:SOD-323","C2128"
"LED-RED-0603","D6","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D7","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D8","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D9","hellen-one-common:LED-0603","C2286"
"LED-GREEN-0805","D10","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D11","hellen-one-common:LED-0805","C2297"
"1N4148WS","D12","hellen-one-common:SOD-323","C2128"
"1N4148WS","D13","hellen-one-common:SOD-323","C2128"
"1N4148WS","D14","hellen-one-common:SOD-323","C2128"
"1N4148WS","D15","hellen-one-common:SOD-323","C2128"
"LED-WHITE-0603","D16","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D17","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D18","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D19","hellen-one-common:LED-0603","C2290"
"1N4148WS","D20","hellen-one-common:SOD-323","C2128"
"1N4148WS","D21","hellen-one-common:SOD-323","C2128"
